Order ID,Order Date,Vendor ID,Vendor Name,Employee ID,Location,Item,Bill Amount,Status
O8445,01-10-2024,V3,Food Corner 3,E1073,Lucknow,Veg,139,Completed
O8491,01-10-2024,V2,Food Corner 2,E1074,Hyderabad,Veg,214,Completed
O8538,01-10-2024,V2,Food Corner 2,E1075,Kolkata,Non-Veg,175,Completed
O8680,01-10-2024,V1,Food Corner 1,E1078,Jaipur,Non-Veg,217,Completed
O8729,01-10-2024,V4,Food Corner 4,E1079,Ahmedabad,Non-Veg,252,Completed
O8825,01-10-2024,V4,Food Corner 4,E1081,Hyderabad,Non-Veg,258,Completed
O9011,01-10-2024,V3,Food Corner 3,E1085,Jaipur,Non-Veg,253,Completed
O9058,01-10-2024,V1,Food Corner 1,E1086,Mumbai,Non-Veg,123,Completed
O9340,01-10-2024,V2,Food Corner 2,E1092,Lucknow,Non-Veg,254,Canceled
O9484,01-10-2024,V5,Food Corner 5,E1095,Chennai,Veg,219,Canceled
O9669,01-10-2024,V1,Food Corner 1,E1099,Delhi,Non-Veg,102,Canceled
O9859,01-10-2024,V1,Food Corner 1,E1103,Ahmedabad,Veg,183,Canceled
O9999,01-10-2024,V4,Food Corner 4,E1106,Pune,Veg,104,Completed
O10190,01-10-2024,V5,Food Corner 5,E1110,Chennai,Non-Veg,234,Canceled
O10336,01-10-2024,V1,Food Corner 1,E1113,Pune,Non-Veg,281,Completed
O10378,01-10-2024,V5,Food Corner 5,E1114,Delhi,Non-Veg,286,Completed
O10425,01-10-2024,V2,Food Corner 2,E1115,Bangalore,Non-Veg,118,Completed
O10473,01-10-2024,V4,Food Corner 4,E1116,Kolkata,Veg,165,Canceled
O10705,01-10-2024,V3,Food Corner 3,E1121,Chennai,Veg,231,Canceled
O10754,01-10-2024,V5,Food Corner 5,E1122,Mumbai,Veg,259,Canceled
O10802,01-10-2024,V1,Food Corner 1,E1123,Hyderabad,Non-Veg,284,Completed
O11176,01-10-2024,V2,Food Corner 2,E1131,Kolkata,Veg,130,Canceled
O11407,01-10-2024,V3,Food Corner 3,E1136,Bangalore,Non-Veg,224,Completed
O11696,01-10-2024,V5,Food Corner 5,E1142,Hyderabad,Veg,237,Canceled
O11929,01-10-2024,V2,Food Corner 2,E1147,Pune,Veg,276,Canceled
O12066,01-10-2024,V4,Food Corner 4,E1150,Mumbai,Non-Veg,174,Canceled
O12429,01-10-2024,V4,Food Corner 4,E1158,Ahmedabad,Veg,149,Canceled
O12620,01-10-2024,V3,Food Corner 3,E1162,Hyderabad,Non-Veg,105,Canceled
O12858,01-10-2024,V4,Food Corner 4,E1167,Lucknow,Non-Veg,123,Completed
O12901,01-10-2024,V3,Food Corner 3,E1168,Hyderabad,Veg,283,Canceled
O12949,01-10-2024,V1,Food Corner 1,E1169,Bangalore,Veg,245,Completed
O13047,01-10-2024,V1,Food Corner 1,E1171,Ahmedabad,Non-Veg,165,Canceled
O13095,01-10-2024,V5,Food Corner 5,E1172,Bangalore,Non-Veg,278,Completed
O13139,01-10-2024,V3,Food Corner 3,E1173,Bangalore,Non-Veg,186,Completed
O13185,01-10-2024,V4,Food Corner 4,E1174,Pune,Non-Veg,156,Completed
O13231,01-10-2024,V3,Food Corner 3,E1175,Delhi,Non-Veg,116,Canceled
O13279,01-10-2024,V4,Food Corner 4,E1176,Delhi,Non-Veg,193,Completed
O13371,01-10-2024,V2,Food Corner 2,E1178,Ahmedabad,Non-Veg,198,Completed
O13561,01-10-2024,V5,Food Corner 5,E1182,Bangalore,Non-Veg,127,Completed
O13703,01-10-2024,V2,Food Corner 2,E1185,Jaipur,Non-Veg,173,Canceled
O13839,01-10-2024,V3,Food Corner 3,E1188,Lucknow,Veg,204,Completed
O13885,01-10-2024,V1,Food Corner 1,E1189,Ahmedabad,Veg,185,Completed
O13932,01-10-2024,V4,Food Corner 4,E1190,Ahmedabad,Veg,143,Completed
O14221,01-10-2024,V5,Food Corner 5,E1196,Mumbai,Veg,189,Canceled
O14271,01-10-2024,V5,Food Corner 5,E1197,Kolkata,Non-Veg,232,Canceled
O14316,01-10-2024,V4,Food Corner 4,E1198,Mumbai,Veg,184,Canceled
O14551,01-10-2024,V1,Food Corner 1,E1203,Lucknow,Non-Veg,199,Canceled
O14694,01-10-2024,V2,Food Corner 2,E1206,Pune,Veg,124,Completed
O14836,01-10-2024,V4,Food Corner 4,E1209,Lucknow,Non-Veg,167,Completed
O14931,01-10-2024,V5,Food Corner 5,E1211,Bangalore,Non-Veg,196,Completed
O15028,01-10-2024,V4,Food Corner 4,E1213,Lucknow,Non-Veg,127,Completed
O15173,01-10-2024,V1,Food Corner 1,E1216,Lucknow,Veg,172,Completed
O15215,01-10-2024,V1,Food Corner 1,E1217,Chennai,Veg,269,Completed
O15265,01-10-2024,V3,Food Corner 3,E1218,Kolkata,Non-Veg,105,Canceled
O15409,01-10-2024,V4,Food Corner 4,E1221,Mumbai,Non-Veg,124,Completed
O15552,01-10-2024,V2,Food Corner 2,E1224,Ahmedabad,Veg,107,Canceled
O15785,01-10-2024,V3,Food Corner 3,E1229,Kolkata,Non-Veg,213,Canceled
O15873,01-10-2024,V3,Food Corner 3,E1231,Hyderabad,Veg,271,Completed
O15922,01-10-2024,V5,Food Corner 5,E1232,Jaipur,Veg,142,Completed
O16108,01-10-2024,V4,Food Corner 4,E1236,Lucknow,Veg,276,Canceled
O16350,01-10-2024,V2,Food Corner 2,E1241,Bangalore,Veg,274,Completed
O16577,01-10-2024,V5,Food Corner 5,E1246,Chennai,Veg,255,Canceled
O16715,01-10-2024,V3,Food Corner 3,E1249,Ahmedabad,Non-Veg,237,Canceled
O16763,01-10-2024,V4,Food Corner 4,E1250,Bangalore,Non-Veg,186,Canceled
O16809,01-10-2024,V5,Food Corner 5,E1251,Kolkata,Veg,188,Canceled
O16856,01-10-2024,V2,Food Corner 2,E1252,Hyderabad,Veg,153,Completed
O16904,01-10-2024,V2,Food Corner 2,E1253,Bangalore,Veg,157,Completed
O16996,01-10-2024,V4,Food Corner 4,E1255,Lucknow,Veg,123,Canceled
O17372,01-10-2024,V2,Food Corner 2,E1263,Mumbai,Veg,167,Completed
O17418,01-10-2024,V5,Food Corner 5,E1264,Pune,Veg,116,Canceled
O17515,01-10-2024,V1,Food Corner 1,E1266,Delhi,Veg,151,Canceled
O17563,01-10-2024,V5,Food Corner 5,E1267,Delhi,Veg,230,Canceled
O17612,01-10-2024,V4,Food Corner 4,E1268,Jaipur,Non-Veg,133,Canceled
O17805,01-10-2024,V4,Food Corner 4,E1272,Kolkata,Veg,267,Completed
O18089,01-10-2024,V2,Food Corner 2,E1278,Pune,Non-Veg,207,Completed
O18326,01-10-2024,V4,Food Corner 4,E1283,Kolkata,Non-Veg,126,Canceled
O18464,01-10-2024,V5,Food Corner 5,E1286,Ahmedabad,Non-Veg,111,Canceled
O18701,01-10-2024,V2,Food Corner 2,E1291,Bangalore,Non-Veg,254,Canceled
O18748,01-10-2024,V4,Food Corner 4,E1292,Kolkata,Non-Veg,293,Completed
O18793,01-10-2024,V3,Food Corner 3,E1293,Delhi,Veg,238,Canceled
O18886,01-10-2024,V4,Food Corner 4,E1295,Bangalore,Veg,144,Completed
O18933,01-10-2024,V1,Food Corner 1,E1296,Jaipur,Non-Veg,208,Canceled
O19171,01-10-2024,V2,Food Corner 2,E1301,Hyderabad,Non-Veg,245,Completed
O19216,01-10-2024,V1,Food Corner 1,E1302,Pune,Non-Veg,172,Completed
O19312,01-10-2024,V3,Food Corner 3,E1304,Lucknow,Veg,123,Canceled
O19358,01-10-2024,V1,Food Corner 1,E1305,Hyderabad,Non-Veg,293,Canceled
O19406,01-10-2024,V4,Food Corner 4,E1306,Chennai,Veg,144,Completed
O19454,01-10-2024,V2,Food Corner 2,E1307,Chennai,Veg,275,Canceled
O19548,01-10-2024,V3,Food Corner 3,E1309,Mumbai,Non-Veg,274,Canceled
O19739,01-10-2024,V5,Food Corner 5,E1313,Chennai,Non-Veg,216,Completed
O19930,01-10-2024,V4,Food Corner 4,E1317,Delhi,Veg,169,Canceled
O20120,01-10-2024,V2,Food Corner 2,E1321,Lucknow,Veg,217,Completed
O20171,01-10-2024,V3,Food Corner 3,E1322,Mumbai,Veg,168,Completed
O20220,01-10-2024,V3,Food Corner 3,E1323,Lucknow,Non-Veg,212,Completed
O20407,01-10-2024,V3,Food Corner 3,E1327,Jaipur,Non-Veg,112,Canceled
O20549,01-10-2024,V5,Food Corner 5,E1330,Delhi,Veg,117,Canceled
O20640,01-10-2024,V5,Food Corner 5,E1332,Kolkata,Non-Veg,203,Completed
O20785,01-10-2024,V3,Food Corner 3,E1335,Hyderabad,Veg,108,Canceled
O20972,01-10-2024,V5,Food Corner 5,E1339,Ahmedabad,Veg,194,Canceled
O21111,01-10-2024,V2,Food Corner 2,E1342,Bangalore,Veg,282,Completed
O21249,01-10-2024,V5,Food Corner 5,E1345,Lucknow,Non-Veg,229,Completed
O21341,01-10-2024,V1,Food Corner 1,E1347,Chennai,Veg,152,Completed
O21389,01-10-2024,V2,Food Corner 2,E1348,Chennai,Veg,148,Completed
O21436,01-10-2024,V5,Food Corner 5,E1349,Jaipur,Veg,109,Canceled
O21672,01-10-2024,V2,Food Corner 2,E1354,Mumbai,Non-Veg,119,Canceled
O21763,01-10-2024,V4,Food Corner 4,E1356,Hyderabad,Veg,202,Canceled
O21811,01-10-2024,V4,Food Corner 4,E1357,Jaipur,Non-Veg,112,Completed
O21862,01-10-2024,V5,Food Corner 5,E1358,Ahmedabad,Veg,187,Completed
O22053,01-10-2024,V1,Food Corner 1,E1362,Kolkata,Veg,261,Canceled
O22186,01-10-2024,V4,Food Corner 4,E1365,Lucknow,Veg,260,Canceled
O22277,01-10-2024,V1,Food Corner 1,E1367,Lucknow,Veg,219,Canceled
O22326,01-10-2024,V3,Food Corner 3,E1368,Pune,Veg,145,Completed
O22461,01-10-2024,V4,Food Corner 4,E1371,Lucknow,Veg,118,Completed
O22600,01-10-2024,V4,Food Corner 4,E1374,Hyderabad,Veg,137,Completed
O22692,01-10-2024,V5,Food Corner 5,E1376,Ahmedabad,Veg,116,Completed
O22738,01-10-2024,V2,Food Corner 2,E1377,Hyderabad,Non-Veg,170,Completed
O22884,01-10-2024,V4,Food Corner 4,E1380,Hyderabad,Veg,229,Completed
O23080,01-10-2024,V2,Food Corner 2,E1384,Chennai,Veg,122,Completed
O23126,01-10-2024,V1,Food Corner 1,E1385,Chennai,Non-Veg,274,Completed
O23269,01-10-2024,V4,Food Corner 4,E1388,Mumbai,Non-Veg,143,Completed
O23317,01-10-2024,V2,Food Corner 2,E1389,Bangalore,Veg,265,Completed
O23362,01-10-2024,V3,Food Corner 3,E1390,Chennai,Non-Veg,250,Completed
O23410,01-10-2024,V2,Food Corner 2,E1391,Hyderabad,Non-Veg,165,Canceled
O23457,01-10-2024,V3,Food Corner 3,E1392,Delhi,Veg,141,Completed
O23783,01-10-2024,V1,Food Corner 1,E1399,Delhi,Veg,135,Canceled
O23880,01-10-2024,V4,Food Corner 4,E1401,Hyderabad,Non-Veg,239,Canceled
O24116,01-10-2024,V1,Food Corner 1,E1406,Hyderabad,Veg,280,Canceled
O24355,01-10-2024,V4,Food Corner 4,E1411,Delhi,Veg,118,Completed
O24404,01-10-2024,V4,Food Corner 4,E1412,Bangalore,Non-Veg,291,Canceled
O24544,01-10-2024,V1,Food Corner 1,E1415,Delhi,Veg,182,Canceled
O24592,01-10-2024,V1,Food Corner 1,E1416,Chennai,Non-Veg,299,Canceled
O24783,01-10-2024,V5,Food Corner 5,E1420,Bangalore,Non-Veg,141,Canceled
O24829,01-10-2024,V3,Food Corner 3,E1421,Jaipur,Non-Veg,200,Canceled
O24878,01-10-2024,V5,Food Corner 5,E1422,Kolkata,Veg,177,Completed
O24924,01-10-2024,V1,Food Corner 1,E1423,Pune,Veg,199,Canceled
O25023,01-10-2024,V3,Food Corner 3,E1425,Mumbai,Non-Veg,263,Completed
O25068,01-10-2024,V4,Food Corner 4,E1426,Mumbai,Veg,102,Canceled
O25111,01-10-2024,V2,Food Corner 2,E1427,Chennai,Non-Veg,121,Completed
O25157,01-10-2024,V5,Food Corner 5,E1428,Pune,Veg,268,Completed
O25206,01-10-2024,V5,Food Corner 5,E1429,Ahmedabad,Non-Veg,233,Canceled
O25253,01-10-2024,V1,Food Corner 1,E1430,Bangalore,Veg,162,Canceled
O25297,01-10-2024,V2,Food Corner 2,E1431,Lucknow,Veg,145,Canceled
O25392,01-10-2024,V4,Food Corner 4,E1433,Delhi,Non-Veg,233,Completed
O25536,01-10-2024,V3,Food Corner 3,E1436,Kolkata,Non-Veg,105,Completed
O25962,01-10-2024,V2,Food Corner 2,E1445,Mumbai,Veg,268,Canceled
O26012,01-10-2024,V5,Food Corner 5,E1446,Bangalore,Non-Veg,267,Canceled
O26059,01-10-2024,V5,Food Corner 5,E1447,Chennai,Non-Veg,244,Canceled
O26104,01-10-2024,V1,Food Corner 1,E1448,Jaipur,Non-Veg,200,Canceled
O26243,01-10-2024,V1,Food Corner 1,E1451,Kolkata,Veg,261,Completed
O26523,01-10-2024,V3,Food Corner 3,E1457,Mumbai,Non-Veg,293,Canceled
O26662,01-10-2024,V1,Food Corner 1,E1460,Hyderabad,Non-Veg,192,Completed
O26757,01-10-2024,V4,Food Corner 4,E1462,Lucknow,Non-Veg,293,Canceled
O27194,01-10-2024,V1,Food Corner 1,E1471,Mumbai,Veg,114,Canceled
O27335,01-10-2024,V4,Food Corner 4,E1474,Jaipur,Veg,254,Canceled
O27382,01-10-2024,V5,Food Corner 5,E1475,Hyderabad,Veg,239,Canceled
O27431,01-10-2024,V2,Food Corner 2,E1476,Pune,Veg,192,Canceled
O27481,01-10-2024,V1,Food Corner 1,E1477,Ahmedabad,Non-Veg,161,Canceled
O27528,01-10-2024,V4,Food Corner 4,E1478,Mumbai,Non-Veg,112,Canceled
O27624,01-10-2024,V2,Food Corner 2,E1480,Bangalore,Veg,199,Canceled
O27813,01-10-2024,V1,Food Corner 1,E1484,Kolkata,Veg,295,Completed
O27860,01-10-2024,V3,Food Corner 3,E1485,Chennai,Veg,258,Completed
O27907,01-10-2024,V1,Food Corner 1,E1486,Mumbai,Non-Veg,226,Completed
O27954,01-10-2024,V4,Food Corner 4,E1487,Jaipur,Veg,159,Canceled
O28002,01-10-2024,V5,Food Corner 5,E1488,Mumbai,Veg,261,Canceled
O28141,01-10-2024,V3,Food Corner 3,E1491,Mumbai,Non-Veg,183,Canceled
O28190,01-10-2024,V1,Food Corner 1,E1492,Mumbai,Non-Veg,299,Canceled
O28279,01-10-2024,V2,Food Corner 2,E1494,Pune,Non-Veg,152,Canceled
O28518,01-10-2024,V3,Food Corner 3,E1499,Chennai,Veg,183,Canceled
O28609,01-10-2024,V2,Food Corner 2,E1501,Kolkata,Non-Veg,219,Canceled
O28754,01-10-2024,V1,Food Corner 1,E1504,Delhi,Non-Veg,284,Canceled
O28799,01-10-2024,V5,Food Corner 5,E1505,Hyderabad,Veg,227,Canceled
O28846,01-10-2024,V1,Food Corner 1,E1506,Jaipur,Veg,285,Canceled
O28891,01-10-2024,V3,Food Corner 3,E1507,Delhi,Veg,161,Completed
O29034,01-10-2024,V3,Food Corner 3,E1510,Chennai,Non-Veg,276,Canceled
O29220,01-10-2024,V5,Food Corner 5,E1514,Bangalore,Non-Veg,174,Completed
O29268,01-10-2024,V2,Food Corner 2,E1515,Lucknow,Veg,273,Canceled
O29413,01-10-2024,V4,Food Corner 4,E1518,Mumbai,Veg,174,Completed
O29600,01-10-2024,V2,Food Corner 2,E1522,Ahmedabad,Veg,210,Completed
O29693,01-10-2024,V1,Food Corner 1,E1524,Ahmedabad,Non-Veg,162,Completed
O29788,01-10-2024,V3,Food Corner 3,E1526,Ahmedabad,Veg,126,Canceled
O29877,01-10-2024,V3,Food Corner 3,E1528,Chennai,Veg,249,Completed
O29925,01-10-2024,V3,Food Corner 3,E1529,Mumbai,Veg,295,Canceled
O29972,01-10-2024,V3,Food Corner 3,E1530,Kolkata,Non-Veg,126,Completed
O30068,01-10-2024,V1,Food Corner 1,E1532,Mumbai,Veg,119,Completed
O30113,01-10-2024,V2,Food Corner 2,E1533,Lucknow,Veg,103,Canceled
O30162,01-10-2024,V3,Food Corner 3,E1534,Kolkata,Veg,172,Completed
O30210,01-10-2024,V1,Food Corner 1,E1535,Pune,Veg,182,Completed
O30304,01-10-2024,V4,Food Corner 4,E1537,Jaipur,Veg,143,Canceled
O30537,01-10-2024,V4,Food Corner 4,E1542,Kolkata,Veg,230,Canceled
O30629,01-10-2024,V1,Food Corner 1,E1544,Jaipur,Veg,146,Canceled
O30767,01-10-2024,V1,Food Corner 1,E1547,Jaipur,Veg,148,Canceled
O30853,01-10-2024,V2,Food Corner 2,E1549,Delhi,Non-Veg,212,Canceled
O30900,01-10-2024,V1,Food Corner 1,E1550,Bangalore,Veg,183,Canceled
O30995,01-10-2024,V1,Food Corner 1,E1552,Delhi,Non-Veg,155,Completed
O31042,01-10-2024,V4,Food Corner 4,E1553,Pune,Non-Veg,114,Completed
O31088,01-10-2024,V1,Food Corner 1,E1554,Hyderabad,Veg,111,Completed
O31473,01-10-2024,V1,Food Corner 1,E1562,Lucknow,Non-Veg,251,Completed
O31519,01-10-2024,V3,Food Corner 3,E1563,Ahmedabad,Veg,274,Canceled
O31565,01-10-2024,V1,Food Corner 1,E1564,Jaipur,Non-Veg,118,Completed
O31705,01-10-2024,V2,Food Corner 2,E1567,Kolkata,Non-Veg,199,Canceled
O31849,01-10-2024,V4,Food Corner 4,E1570,Chennai,Veg,177,Completed
O31945,01-10-2024,V1,Food Corner 1,E1572,Mumbai,Non-Veg,184,Completed
O31994,01-10-2024,V2,Food Corner 2,E1573,Chennai,Veg,106,Completed
O32136,01-10-2024,V5,Food Corner 5,E1576,Lucknow,Non-Veg,257,Completed
O32181,01-10-2024,V3,Food Corner 3,E1577,Chennai,Non-Veg,132,Completed
O32231,01-10-2024,V4,Food Corner 4,E1578,Hyderabad,Veg,219,Canceled
O32325,01-10-2024,V4,Food Corner 4,E1580,Kolkata,Non-Veg,192,Canceled
O32371,01-10-2024,V2,Food Corner 2,E1581,Lucknow,Veg,300,Completed
O32704,01-10-2024,V3,Food Corner 3,E1588,Chennai,Veg,267,Completed
O32802,01-10-2024,V2,Food Corner 2,E1590,Hyderabad,Veg,243,Canceled
O32846,01-10-2024,V1,Food Corner 1,E1591,Delhi,Veg,139,Completed
O33038,01-10-2024,V2,Food Corner 2,E1595,Bangalore,Veg,129,Canceled
O33374,01-10-2024,V3,Food Corner 3,E1602,Bangalore,Veg,239,Completed
O33419,01-10-2024,V2,Food Corner 2,E1603,Mumbai,Non-Veg,211,Canceled
O33508,01-10-2024,V5,Food Corner 5,E1605,Bangalore,Veg,274,Canceled
O33556,01-10-2024,V1,Food Corner 1,E1606,Ahmedabad,Veg,107,Canceled
O33650,01-10-2024,V1,Food Corner 1,E1608,Ahmedabad,Non-Veg,277,Completed
O33745,01-10-2024,V4,Food Corner 4,E1610,Hyderabad,Non-Veg,227,Completed
O33794,01-10-2024,V2,Food Corner 2,E1611,Delhi,Non-Veg,205,Canceled
O33840,01-10-2024,V2,Food Corner 2,E1612,Bangalore,Veg,227,Completed
O33887,01-10-2024,V4,Food Corner 4,E1613,Mumbai,Veg,248,Completed
O33981,01-10-2024,V3,Food Corner 3,E1615,Ahmedabad,Veg,157,Completed
O34173,01-10-2024,V4,Food Corner 4,E1619,Pune,Non-Veg,277,Canceled
O34509,01-10-2024,V1,Food Corner 1,E1626,Pune,Veg,154,Completed
O34750,01-10-2024,V3,Food Corner 3,E1631,Kolkata,Veg,263,Canceled
O34797,01-10-2024,V4,Food Corner 4,E1632,Pune,Veg,238,Canceled
O34988,01-10-2024,V1,Food Corner 1,E1636,Hyderabad,Non-Veg,124,Completed
O35129,01-10-2024,V3,Food Corner 3,E1639,Chennai,Veg,264,Canceled
O35225,01-10-2024,V1,Food Corner 1,E1641,Hyderabad,Veg,186,Canceled
O35319,01-10-2024,V4,Food Corner 4,E1643,Bangalore,Veg,146,Canceled
O35412,01-10-2024,V1,Food Corner 1,E1645,Jaipur,Non-Veg,294,Canceled
O35462,01-10-2024,V3,Food Corner 3,E1646,Mumbai,Non-Veg,216,Completed
O35693,01-10-2024,V1,Food Corner 1,E1651,Jaipur,Non-Veg,289,Canceled
O35741,01-10-2024,V3,Food Corner 3,E1652,Pune,Non-Veg,148,Completed
O36018,01-10-2024,V3,Food Corner 3,E1658,Jaipur,Veg,279,Canceled
O36066,01-10-2024,V2,Food Corner 2,E1659,Kolkata,Veg,249,Completed
O36113,01-10-2024,V1,Food Corner 1,E1660,Lucknow,Non-Veg,200,Completed
O36206,01-10-2024,V3,Food Corner 3,E1662,Delhi,Veg,150,Canceled
O36252,01-10-2024,V3,Food Corner 3,E1663,Delhi,Non-Veg,104,Completed
O36299,01-10-2024,V4,Food Corner 4,E1664,Hyderabad,Non-Veg,184,Completed
O36345,01-10-2024,V1,Food Corner 1,E1665,Chennai,Veg,134,Completed
O36391,01-10-2024,V5,Food Corner 5,E1666,Ahmedabad,Veg,131,Completed
O36728,01-10-2024,V4,Food Corner 4,E1673,Delhi,Veg,257,Completed
O36871,01-10-2024,V3,Food Corner 3,E1676,Ahmedabad,Non-Veg,298,Completed
O36917,01-10-2024,V3,Food Corner 3,E1677,Hyderabad,Veg,261,Completed
O37055,01-10-2024,V4,Food Corner 4,E1680,Pune,Non-Veg,300,Completed
O37104,01-10-2024,V2,Food Corner 2,E1681,Lucknow,Non-Veg,144,Completed
O37149,01-10-2024,V1,Food Corner 1,E1682,Lucknow,Non-Veg,286,Canceled
O37194,01-10-2024,V2,Food Corner 2,E1683,Kolkata,Veg,280,Completed
O37288,01-10-2024,V1,Food Corner 1,E1685,Bangalore,Non-Veg,144,Completed
O37438,01-10-2024,V1,Food Corner 1,E1688,Bangalore,Non-Veg,249,Canceled
O37484,01-10-2024,V4,Food Corner 4,E1689,Bangalore,Non-Veg,191,Canceled
O37626,01-10-2024,V2,Food Corner 2,E1692,Mumbai,Veg,287,Canceled
O37768,01-10-2024,V3,Food Corner 3,E1695,Delhi,Non-Veg,236,Canceled
O37811,01-10-2024,V5,Food Corner 5,E1696,Bangalore,Veg,190,Completed
O37857,01-10-2024,V5,Food Corner 5,E1697,Mumbai,Veg,229,Canceled
O37903,01-10-2024,V3,Food Corner 3,E1698,Lucknow,Non-Veg,255,Completed
O38001,01-10-2024,V3,Food Corner 3,E1700,Pune,Veg,204,Canceled
O38047,01-10-2024,V4,Food Corner 4,E1701,Jaipur,Non-Veg,248,Completed
O38094,01-10-2024,V2,Food Corner 2,E1702,Bangalore,Veg,285,Canceled
O38143,01-10-2024,V2,Food Corner 2,E1703,Delhi,Veg,177,Completed
O38192,01-10-2024,V4,Food Corner 4,E1704,Jaipur,Veg,128,Completed
O38526,01-10-2024,V5,Food Corner 5,E1711,Hyderabad,Veg,186,Completed
O38716,01-10-2024,V2,Food Corner 2,E1715,Kolkata,Veg,295,Completed
O38905,01-10-2024,V5,Food Corner 5,E1719,Lucknow,Veg,205,Canceled
O38952,01-10-2024,V5,Food Corner 5,E1720,Kolkata,Non-Veg,141,Canceled
O39095,01-10-2024,V2,Food Corner 2,E1723,Hyderabad,Non-Veg,264,Completed
O39187,01-10-2024,V1,Food Corner 1,E1725,Mumbai,Non-Veg,266,Completed
O39279,01-10-2024,V3,Food Corner 3,E1727,Lucknow,Veg,156,Completed
O39423,01-10-2024,V3,Food Corner 3,E1730,Pune,Veg,252,Completed
O39605,01-10-2024,V5,Food Corner 5,E1734,Delhi,Non-Veg,158,Canceled
O39697,01-10-2024,V4,Food Corner 4,E1736,Ahmedabad,Non-Veg,204,Completed
O39744,01-10-2024,V2,Food Corner 2,E1737,Bangalore,Veg,202,Completed
O39835,01-10-2024,V1,Food Corner 1,E1739,Ahmedabad,Veg,219,Canceled
O39883,01-10-2024,V4,Food Corner 4,E1740,Bangalore,Veg,176,Canceled
O39979,01-10-2024,V1,Food Corner 1,E1742,Pune,Veg,124,Completed
O40168,01-10-2024,V2,Food Corner 2,E1746,Ahmedabad,Veg,285,Canceled
O40216,01-10-2024,V3,Food Corner 3,E1747,Hyderabad,Non-Veg,269,Canceled
O40263,01-10-2024,V2,Food Corner 2,E1748,Delhi,Non-Veg,223,Completed
O40406,01-10-2024,V1,Food Corner 1,E1751,Hyderabad,Non-Veg,169,Completed
O40456,01-10-2024,V2,Food Corner 2,E1752,Chennai,Non-Veg,265,Canceled
O40503,01-10-2024,V5,Food Corner 5,E1753,Lucknow,Veg,233,Completed
O40648,01-10-2024,V4,Food Corner 4,E1756,Mumbai,Non-Veg,203,Completed
O40739,01-10-2024,V4,Food Corner 4,E1758,Mumbai,Veg,223,Canceled
O40834,01-10-2024,V4,Food Corner 4,E1760,Hyderabad,Non-Veg,277,Canceled
O40980,01-10-2024,V2,Food Corner 2,E1763,Hyderabad,Veg,209,Completed
O41027,01-10-2024,V5,Food Corner 5,E1764,Lucknow,Non-Veg,234,Canceled
O41163,01-10-2024,V1,Food Corner 1,E1767,Pune,Veg,234,Completed
O41306,01-10-2024,V1,Food Corner 1,E1770,Hyderabad,Veg,127,Canceled
